n_sections,condition_number,tensor_shape_error
4.000000000000000000e+00,2.906192821173118279e+00,8.508499326528670692e-02
4.000000000000000000e+00,5.907301757967184841e+01,1.739525161527271657e-01
4.000000000000000000e+00,2.179080247241283796e+00,1.466070741637568453e-01
4.000000000000000000e+00,2.694724110621812052e+00,1.263962269575393815e-01
4.000000000000000000e+00,2.304628550529469244e+00,1.995738594394977639e-01
4.000000000000000000e+00,4.379678857902341349e+00,1.554731699128278910e-01
4.000000000000000000e+00,2.143834882648419260e+00,9.190160265343061408e-02
4.000000000000000000e+00,3.399524476284140118e+00,8.671676648788304020e-02
4.000000000000000000e+00,1.751848265059338994e+00,1.003651528578144297e-01
4.000000000000000000e+00,3.457253236062491020e+00,7.313151114688254406e-02
4.000000000000000000e+00,2.714256526888352727e+00,6.721761550476446079e-02
4.000000000000000000e+00,2.914178455594226946e+00,1.108067662206045634e-01
4.000000000000000000e+00,5.890784421768930912e+00,1.884058197642767829e-01
4.000000000000000000e+00,8.148807996239549212e+00,1.286988689115833306e-01
4.000000000000000000e+00,3.890190974380268063e+00,1.910158812160226149e-01
4.000000000000000000e+00,3.552933798209433558e+00,9.279833140532864344e-02
