experiment,seed,porosity,anisotropy_true,section_size,theta_step_deg,interpolation_order,anisotropy_recovered,tensor_shape_error,orientation_error_deg,condition_number
angular,900505,0.25,3.0,128,15.0,1,3.116003814848206,0.07050802306159151,2.7089658722521843,1.4142135623730951
angular,900505,0.25,3.0,128,30.0,1,3.108976049426268,0.07023356257942366,2.6774469554501725,1.4142135623730954
interpolation,900505,0.25,3.0,104,5.0,0,2.839656827027746,0.1139590505953225,2.7527983399422364,2.3124328910157046
interpolation,900505,0.25,3.0,104,5.0,1,2.871367428153829,0.10500266447776059,2.31888830241813,2.3124328910157046
fov,900506,0.25,3.0,64,5.0,1,3.6922123406929432,0.30672623687737954,18.029346511768335,1.4142135623730947
fov,900506,0.25,3.0,80,5.0,1,3.080067226689987,0.24746112613815643,10.704133565755507,1.4142135623730947
fov,900506,0.25,3.0,96,5.0,1,2.9545902175480405,0.1678625289003511,7.21257468549544,1.4142135623730947
fov,900506,0.25,3.0,112,5.0,1,3.673257721512846,0.16304940278334598,7.365496451062108,1.4142135623730947
fov,900506,0.25,3.0,128,5.0,1,3.135224107009859,0.15676524648104254,6.126846930349257,1.4142135623730947
fov,900506,0.25,3.0,144,5.0,1,3.2641718330936773,0.1338256589075518,6.275961581713869,1.4142135623730947
angular,900506,0.25,3.0,128,2.5,1,3.1323220853642146,0.15692174981124363,6.112457976865544,1.4142135623730951
angular,900506,0.25,3.0,128,5.0,1,3.135224107009859,0.15676524648104254,6.126846930349257,1.4142135623730947
angular,900506,0.25,3.0,128,10.0,1,3.1386455687538763,0.15608470286614584,6.125582186181565,1.414213562373095
angular,900506,0.25,3.0,128,15.0,1,3.1356657776990287,0.1563884252214587,6.068883000672979,1.4142135623730951
angular,900506,0.25,3.0,128,30.0,1,3.124815135736932,0.15889041387006933,6.161006426736536,1.4142135623730954
interpolation,900506,0.25,3.0,104,5.0,0,2.5429893797061016,0.1987925683511584,9.805355802157223,2.3124328910157046
interpolation,900506,0.25,3.0,104,5.0,1,2.5291893398707153,0.19884839009987715,9.686172418713817,2.3124328910157046
fov,900507,0.25,3.0,64,5.0,1,3.8190137535636115,0.32118816485733725,3.5836121769722973,1.4142135623730947
fov,900507,0.25,3.0,80,5.0,1,3.0954647198056646,0.16556989809129372,5.794604505683958,1.4142135623730947
fov,900507,0.25,3.0,96,5.0,1,2.9592548699912844,0.1017617545867181,4.191710643817919,1.4142135623730947
fov,900507,0.25,3.0,112,5.0,1,3.0570723141240386,0.0811897957043154,4.351462482623412,1.4142135623730947
fov,900507,0.25,3.0,128,5.0,1,3.1039681661397216,0.09259984751860509,4.447337814166068,1.4142135623730947
fov,900507,0.25,3.0,144,5.0,1,2.9701227860834067,0.07581413280994663,6.159926893567479,1.4142135623730947
angular,900507,0.25,3.0,128,2.5,1,3.103166283081131,0.09252869811498662,4.449377870152159,1.4142135623730951
angular,900507,0.25,3.0,128,5.0,1,3.1039681661397216,0.09259984751860509,4.447337814166068,1.4142135623730947
angular,900507,0.25,3.0,128,10.0,1,3.1040157913200512,0.0923090383252209,4.470576933448341,1.414213562373095
angular,900507,0.25,3.0,128,15.0,1,3.0978202753217245,0.09167083125978634,4.510016104140091,1.4142135623730951
angular,900507,0.25,3.0,128,30.0,1,3.131244030488657,0.09295211087300734,4.506881033256758,1.4142135623730954
interpolation,900507,0.25,3.0,104,5.0,0,2.8153746168617273,0.10295270976356431,5.120222048740055,2.3124328910157046
interpolation,900507,0.25,3.0,104,5.0,1,2.866896778470261,0.10530052810234959,5.389762941995335,2.3124328910157046
fov,900508,0.25,3.0,64,5.0,1,2.1833214503666922,0.3382836866459874,10.302346168420847,1.4142135623730947
fov,900508,0.25,3.0,80,5.0,1,2.4778766627049964,0.2596074917417643,25.63192570954459,1.4142135623730947
